City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
357,Trincomalee,LK,79.47,broken clouds,8.5711,81.2335,Welcombe Hotel
360,Lodwar,KE,92.52,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
363,Copala,MX,83.52,clear sky,16.65,-98.9833,Kaak Naab Playa Ventura
364,Tanete,ID,75.31,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
371,Soyo,AO,79.68,light rain,-6.1349,12.3689,Hotel Mpampa
373,Champerico,GT,90.36,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
375,Kismayo,SO,78.37,broken clouds,-0.3582,42.5454,Agan-Hotel
377,Bonthe,SL,85.32,clear sky,7.5264,-12.505,Bonthe Holiday Village
385,Parana,AR,76.55,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
386,Atar,MR,91.49,clear sky,20.5169,-13.0499,Oumou Elghoura
392,Cobija,BO,77.2,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
397,Ranong,TH,75.52,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
402,Quatre Cocos,MU,79.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
404,Tevaitoa,PF,80.74,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
407,Bengkulu,ID,76.24,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
408,Madarounfa,NE,82.74,clear sky,13.3087,7.156,Madarounfa centre ville
421,Malakal,SS,78.39,broken clouds,9.5334,31.6605,Nile Palace Hotel
422,Eyl,SO,75.24,overcast clouds,7.9803,49.8164,Amiin Hotel
424,Port Keats,AU,79.05,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
425,Mannarakkat,IN,81.95,broken clouds,10.9833,76.4667,The Park Residency
427,Torit,SS,85.55,overcast clouds,4.4133,32.5678,Diplomat Guest House
429,Natal,BR,90.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
437,Kirakira,SB,80.89,overcast clouds,-10.4544,161.9205,SanBiz Lodge
441,Conceicao Do Araguaia,BR,87.03,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
