City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
99,Balsas,-7.5325,-46.0356,88.3,55,94,2.28,BR,2022-02-06 17:09:47,overcast clouds
100,Taltal,-25.4,-70.4833,71.47,67,6,6.82,CL,2022-02-06 17:09:47,clear sky
101,Broken Hill,-31.95,141.4333,73.9,34,16,12.73,AU,2022-02-06 17:09:47,few clouds
102,Mira,45.4358,12.1348,48.85,87,75,6.91,IT,2022-02-06 17:09:48,mist
103,Kenora,49.8167,-94.4337,1.38,86,96,6.06,CA,2022-02-06 17:09:48,overcast clouds
104,Nizwa,22.9333,57.5333,70.0,48,1,4.34,OM,2022-02-06 17:09:48,clear sky
105,Beringovskiy,63.05,179.3167,-17.1,98,18,8.97,RU,2022-02-06 17:09:49,few clouds
106,Praia Da Vitoria,38.7333,-27.0667,63.75,88,27,18.37,PT,2022-02-06 17:09:49,scattered clouds
107,Labuhan,-6.8844,112.2051,78.4,90,100,7.56,ID,2022-02-06 17:09:49,overcast clouds
108,Octeville,49.6261,-1.6435,51.93,87,100,34.52,FR,2022-02-06 17:09:50,light intensity drizzle
109,Saint-Augustin,51.226,-58.6502,-2.24,69,16,16.6,CA,2022-02-06 17:09:50,few clouds
110,Yellowknife,62.456,-114.3525,-9.58,96,100,13.85,CA,2022-02-06 17:09:50,overcast clouds
111,Vardo,70.3705,31.1107,24.78,80,75,21.85,NO,2022-02-06 17:06:49,broken clouds
112,Maramba,-5.05,38.6167,66.15,91,100,6.33,TZ,2022-02-06 17:09:15,light rain
113,Kodinsk,58.6881,99.1844,6.94,99,100,1.92,RU,2022-02-06 17:09:51,overcast clouds
114,Sabya,17.1495,42.6254,77.02,65,21,10.25,SA,2022-02-06 17:09:51,few clouds
115,Beian,63.6559,9.5683,39.0,93,75,29.93,NO,2022-02-06 17:09:52,shower sleet
116,Tuktoyaktuk,69.4541,-133.0374,-15.84,99,100,10.11,CA,2022-02-06 17:09:41,overcast clouds
117,Nizhniy Tsasuchey,50.5167,115.1333,1.13,97,95,4.41,RU,2022-02-06 17:09:52,overcast clouds
118,Fairbanks,64.8378,-147.7164,-0.69,76,100,5.75,US,2022-02-06 17:06:02,light snow
119,San Cristobal,7.7669,-72.225,68.18,53,87,4.41,VE,2022-02-06 17:09:53,overcast clouds
120,Mount Gambier,-37.8333,140.7667,61.95,62,1,5.93,AU,2022-02-06 17:05:56,clear sky
121,Khalkhal,37.6189,48.5258,22.96,92,85,5.14,IR,2022-02-06 17:09:53,overcast clouds
122,Pimentel,-6.8367,-79.9342,77.29,61,75,11.5,PE,2022-02-06 17:09:54,broken clouds
123,Comodoro Rivadavia,-45.8667,-67.5,78.66,31,0,11.5,AR,2022-02-06 17:08:16,clear sky
124,Jacareacanga,-6.2222,-57.7528,82.44,84,94,2.1,BR,2022-02-06 17:09:54,overcast clouds
125,Hilo,19.7297,-155.09,68.79,96,100,5.75,US,2022-02-06 17:05:36,moderate rain
126,Sao Joao Da Barra,-21.6403,-41.0511,87.89,80,7,15.68,BR,2022-02-06 17:09:55,clear sky
127,Ilulissat,69.2167,-51.1,1.42,46,100,6.91,GL,2022-02-06 17:09:55,overcast clouds
128,Pavlysh,48.9176,33.3569,29.01,88,72,10.11,UA,2022-02-06 17:09:55,broken clouds
129,Hobart,-42.8794,147.3294,55.06,84,28,5.75,AU,2022-02-06 17:06:02,scattered clouds
130,Constitucion,-35.3333,-72.4167,72.52,54,3,7.2,CL,2022-02-06 17:09:56,clear sky
131,Sur,22.5667,59.5289,71.74,71,0,8.25,OM,2022-02-06 17:05:43,clear sky
132,Longyearbyen,78.2186,15.6401,19.24,63,40,19.57,SJ,2022-02-06 17:09:56,scattered clouds
133,Port Lincoln,-34.7333,135.8667,70.81,71,0,11.72,AU,2022-02-06 17:09:57,clear sky
134,Cape Town,-33.9258,18.4232,78.1,42,19,1.01,ZA,2022-02-06 17:05:41,few clouds
135,Altamira,-3.2033,-52.2064,79.7,91,98,4.03,BR,2022-02-06 17:07:26,overcast clouds
136,Severo-Kurilsk,50.6789,156.125,30.33,83,100,14.74,RU,2022-02-06 17:09:57,overcast clouds
137,Kruisfontein,-34.0033,24.7314,77.88,67,64,10.22,ZA,2022-02-06 17:09:58,broken clouds
138,Kavaratti,10.5669,72.642,78.4,67,45,9.15,IN,2022-02-06 17:10:58,scattered clouds
139,Jamestown,42.097,-79.2353,31.01,40,0,8.01,US,2022-02-06 17:10:09,clear sky
140,Nioro,13.35,-15.75,101.98,6,1,5.64,GM,2022-02-06 17:10:59,clear sky
141,Makakilo City,21.3469,-158.0858,72.28,78,0,3.44,US,2022-02-06 17:10:59,clear sky
142,Ellensburg,46.9965,-120.5479,36.1,86,75,3.44,US,2022-02-06 17:10:59,broken clouds
143,Tual,-5.6667,132.75,82.85,76,100,6.73,ID,2022-02-06 17:11:00,overcast clouds
144,Qaanaaq,77.484,-69.3632,-12.89,61,65,8.14,GL,2022-02-06 17:11:00,broken clouds
145,Cookeville,36.1628,-85.5016,44.31,51,0,8.05,US,2022-02-06 17:09:42,clear sky
146,Sola,-13.8833,167.55,81.3,78,100,16.02,VU,2022-02-06 17:11:00,overcast clouds
147,Haines Junction,60.7522,-137.5108,21.18,94,83,7.2,CA,2022-02-06 17:10:10,broken clouds
148,Vao,-22.6667,167.4833,79.72,85,89,1.9,NC,2022-02-06 17:09:05,overcast clouds
149,Isangel,-19.55,169.2667,79.2,90,100,13.42,VU,2022-02-06 17:09:22,heavy intensity rain
150,Singapore,1.2897,103.8501,78.75,88,75,5.75,SG,2022-02-06 17:09:03,very heavy rain
151,Geraldton,-28.7667,114.6,70.21,52,75,12.66,AU,2022-02-06 17:08:29,broken clouds
152,Revin,49.9404,4.635,48.0,83,100,21.56,FR,2022-02-06 17:11:01,light rain
153,Kieta,-6.2167,155.6333,79.81,82,96,6.44,PG,2022-02-06 17:11:02,overcast clouds
154,Rawson,-43.3002,-65.1023,74.23,37,24,15.43,AR,2022-02-06 17:10:48,few clouds
155,Itarema,-2.9248,-39.9167,86.77,60,29,14.03,BR,2022-02-06 17:11:02,scattered clouds
156,Todos Santos,23.45,-110.2167,69.01,67,6,6.06,MX,2022-02-06 17:11:03,clear sky
157,Kyshtovka,56.555,76.6271,3.58,90,100,4.94,RU,2022-02-06 17:11:03,overcast clouds
158,Bethel,41.3712,-73.414,27.03,51,0,4.61,US,2022-02-06 17:06:16,clear sky
159,Vila Velha,-20.3297,-40.2925,87.75,74,20,10.0,BR,2022-02-06 17:11:03,few clouds
160,Broome,42.2506,-75.833,26.46,62,0,5.01,US,2022-02-06 17:11:04,clear sky
161,Camacha,33.0833,-16.3333,61.54,67,75,14.97,PT,2022-02-06 17:11:04,broken clouds
162,Itoman,26.1247,127.6694,59.02,58,100,8.05,JP,2022-02-06 17:11:05,overcast clouds
163,Bubaque,11.2833,-15.8333,78.3,66,8,12.5,GW,2022-02-06 17:11:05,clear sky
164,Karratha,-20.7377,116.8463,84.25,79,37,1.9,AU,2022-02-06 17:11:05,scattered clouds
165,La Paz,-16.5,-68.15,55.38,66,75,5.75,BO,2022-02-06 17:10:44,moderate rain
166,Bambous Virieux,-20.3428,57.7575,79.21,82,43,12.33,MU,2022-02-06 17:07:51,scattered clouds
167,Avarua,-21.2078,-159.775,73.45,100,20,9.22,CK,2022-02-06 17:08:56,few clouds
168,Esperance,-33.8667,121.9,66.04,87,21,27.69,AU,2022-02-06 17:11:06,few clouds
169,Byron Bay,-28.65,153.6167,67.87,79,89,15.03,AU,2022-02-06 17:11:07,overcast clouds
170,Clyde River,70.4692,-68.5914,-32.57,68,0,5.75,CA,2022-02-06 17:11:07,haze
171,Mchinji,-13.7984,32.8802,64.27,95,87,2.28,MW,2022-02-06 17:11:07,light rain
172,Dodola,6.9833,39.1833,61.7,31,99,1.36,ET,2022-02-06 17:11:08,overcast clouds
173,Solnechnyy,50.7214,136.6319,-2.58,99,99,1.86,RU,2022-02-06 17:11:08,overcast clouds
174,Kloulklubed,7.0419,134.2556,77.5,81,100,21.92,PW,2022-02-06 17:11:08,light rain
175,Souillac,-20.5167,57.5167,79.36,84,36,11.41,MU,2022-02-06 17:11:09,scattered clouds
176,Zhanakorgan,43.9098,67.2495,33.67,93,100,19.22,KZ,2022-02-06 17:11:09,overcast clouds
177,Artsyz,45.9919,29.4182,39.96,60,52,12.48,UA,2022-02-06 17:11:09,broken clouds
178,Torbay,47.6666,-52.7314,17.76,84,75,16.11,CA,2022-02-06 17:11:10,light snow
179,Elk Point,42.6833,-96.6836,34.84,69,57,17.58,US,2022-02-06 17:07:33,broken clouds
180,Alice Springs,-23.7,133.8833,62.15,88,0,2.3,AU,2022-02-06 17:09:02,clear sky
