City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Parkersburg,US,2022-02-05 17:49:21,39.2667,-81.5615,25.56,77,100,3.44
110,Lima,PE,2022-02-05 17:44:53,-12.0432,-77.0282,75.38,83,40,1.01
111,Clyde River,CA,2022-02-05 17:49:22,70.4692,-68.5914,-19.97,69,75,11.5
112,Marzuq,YE,2022-02-05 17:49:22,14.4,46.4667,68.43,39,34,5.57
113,Ribeira Grande,PT,2022-02-05 17:45:47,38.5167,-28.7,63.0,77,40,11.5
114,Nacala,MZ,2022-02-05 17:49:22,-14.5428,40.6728,78.21,83,81,6.13
115,Butaritari,KI,2022-02-05 17:49:23,3.0707,172.7902,82.24,70,25,19.44
116,Hermanus,ZA,2022-02-05 17:49:23,-34.4187,19.2345,71.8,74,77,17.9
117,Nuevitas,CU,2022-02-05 17:49:24,21.5453,-77.2644,85.44,46,0,11.56
118,Kodiak,US,2022-02-05 17:49:24,57.79,-152.4072,31.51,86,0,4.61
119,Bowen,AU,2022-02-05 17:49:24,-20.0167,148.2333,70.02,73,19,17.07
120,Caluquembe,AO,2022-02-05 17:49:25,-13.7833,14.6833,61.59,66,100,3.33
121,Fairbanks,US,2022-02-05 17:49:25,64.8378,-147.7164,1.36,79,100,0.0
122,Coralville,US,2022-02-05 17:49:26,41.6764,-91.5805,20.52,56,0,11.5
123,Warwick,US,2022-02-05 17:48:48,41.7001,-71.4162,27.63,73,40,16.11
124,Kirakira,SB,2022-02-05 17:49:26,-10.4544,161.9205,80.85,86,95,5.21
125,Fortuna,US,2022-02-05 17:49:27,40.5982,-124.1573,50.94,85,0,1.01
126,Agadir,MA,2022-02-05 17:49:28,30.4202,-9.5982,72.05,47,100,5.59
127,Port Elizabeth,ZA,2022-02-05 17:49:28,-33.918,25.5701,70.09,83,75,12.66
128,Najran,SA,2022-02-05 17:45:31,17.4924,44.1277,72.25,50,12,7.85
129,Mar Del Plata,AR,2022-02-05 17:49:29,-38.0023,-57.5575,67.08,89,100,13.0
130,Buraydah,SA,2022-02-05 17:46:34,26.326,43.975,55.85,29,0,7.52
131,Ouango,CF,2022-02-05 17:49:30,4.3133,22.5552,77.72,28,97,4.03
132,Concordia,AR,2022-02-05 17:49:30,-31.393,-58.0209,88.75,28,0,14.92
133,Ulladulla,AU,2022-02-05 17:46:16,-35.35,150.4667,64.09,75,93,10.8
134,Leningradskiy,RU,2022-02-05 17:49:31,69.3833,178.4167,-22.23,96,26,4.54
135,Saint Anthony,US,2022-02-05 17:45:21,45.0205,-93.218,13.84,61,75,8.01
136,Flin Flon,CA,2022-02-05 17:45:21,54.7682,-101.865,-13.16,70,75,5.75
137,Swan Hill,AU,2022-02-05 17:50:31,-35.3378,143.5544,66.04,45,62,8.41
138,Chokurdakh,RU,2022-02-05 17:50:32,70.6333,147.9167,-30.17,100,100,2.19
139,Atuona,PF,2022-02-05 17:50:32,-9.8,-139.0333,78.78,75,16,23.17
140,Georgetown,MY,2022-02-05 17:50:33,5.4112,100.3354,81.9,85,20,0.0
141,Uddevalla,SE,2022-02-05 17:50:33,58.3478,11.9424,40.14,94,84,4.0
142,Ocos,GT,2022-02-05 17:50:33,14.5094,-92.1933,91.9,55,0,9.73
143,Vestmannaeyjar,IS,2022-02-05 17:50:34,63.4427,-20.2734,31.19,40,0,6.91
144,San Cristobal,VE,2022-02-05 17:50:34,7.7669,-72.225,71.78,57,79,0.49
145,Dogondoutchi,NE,2022-02-05 17:50:35,13.6393,4.0287,76.14,12,0,10.22
146,Tiksi,RU,2022-02-05 17:50:35,71.6872,128.8694,-22.23,98,96,7.54
147,Carnarvon,AU,2022-02-05 17:50:36,-24.8667,113.6333,80.67,83,27,5.75
148,Silvania,BR,2022-02-05 17:50:36,-16.6589,-48.6081,85.96,68,55,3.0
149,New Norfolk,AU,2022-02-05 17:50:37,-42.7826,147.0587,58.66,63,100,1.23
150,Chandur Bazar,IN,2022-02-05 17:50:37,21.2417,77.7456,65.23,22,0,7.18
151,Gari,RU,2022-02-05 17:50:38,59.4307,62.3497,17.96,98,100,4.34
152,Ust-Ishim,RU,2022-02-05 17:50:38,57.6935,71.1665,18.37,91,100,5.06
153,Takoradi,GH,2022-02-05 17:50:38,4.8845,-1.7554,81.7,77,31,10.47
154,Pisco,PE,2022-02-05 17:50:39,-13.7,-76.2167,72.01,78,41,9.22
155,Port Hedland,AU,2022-02-05 17:50:39,-20.3167,118.5667,86.05,74,40,8.05
156,Yarmouth,US,2022-02-05 17:50:40,41.7057,-70.2286,27.97,78,100,8.99
157,Vardo,NO,2022-02-05 17:50:40,70.3705,31.1107,26.42,78,100,26.17
158,Boyabat,TR,2022-02-05 17:50:40,41.4689,34.7667,30.7,82,63,0.98
159,Loa Janan,ID,2022-02-05 17:50:41,-0.583,117.095,74.08,97,100,1.23
160,Dicamay,PH,2022-02-05 17:50:41,16.7561,122.0037,67.5,98,61,1.39
161,Solnechnyy,RU,2022-02-05 17:50:42,50.7214,136.6319,1.81,98,100,1.01
162,Bonthe,SL,2022-02-05 17:50:42,7.5264,-12.505,82.99,66,30,12.3
163,Kapaa,US,2022-02-05 17:50:42,22.0752,-159.319,64.72,100,40,5.75
164,Narsaq,GL,2022-02-05 17:50:43,60.9167,-46.05,-2.02,73,0,5.68
165,Alofi,NU,2022-02-05 17:50:44,-19.0595,-169.9187,75.09,94,100,3.44
166,Inirida,CO,2022-02-05 17:50:44,3.8653,-67.9239,85.84,63,73,4.68
167,Nanortalik,GL,2022-02-05 17:50:44,60.1432,-45.2371,13.42,61,24,23.53
168,Plettenberg Bay,ZA,2022-02-05 17:50:45,-34.0527,23.3716,70.14,80,1,16.78
169,Surazh,RU,2022-02-05 17:50:45,53.0175,32.3918,25.75,95,100,15.03
170,Russell,US,2022-02-05 17:50:46,32.3502,-85.1999,44.96,48,0,8.99
171,Luau,AO,2022-02-05 17:50:46,-10.7073,22.2247,64.67,93,57,3.51
172,Saint-Philippe,RE,2022-02-05 17:50:46,-21.3585,55.7679,81.99,86,100,21.81
173,Taos,US,2022-02-05 17:50:47,36.4072,-105.5731,46.22,69,1,3.44
174,Sibolga,ID,2022-02-05 17:47:07,1.7427,98.7792,75.43,90,99,3.06
175,Flinders,AU,2022-02-05 17:50:47,-34.5833,150.8552,67.8,80,99,5.01
176,Mbanza-Ngungu,CD,2022-02-05 17:50:48,-5.25,14.8667,70.61,89,24,3.22
177,Krechevitsy,RU,2022-02-05 17:50:48,58.617,31.401,22.41,95,100,10.98
